threshold,precision,recall,f1,accuracy
0.0,0.3235294117647059,1.0,0.48888888888888893,0.3235294117647059
0.05555555555555555,0.3235294117647059,1.0,0.48888888888888893,0.3235294117647059
0.1111111111111111,0.3382352941176471,0.965034965034965,0.5009074410163339,0.3778280542986425
0.16666666666666666,0.3728813559322034,0.9230769230769231,0.5311871227364185,0.47285067873303166
0.2222222222222222,0.44398340248962653,0.7482517482517482,0.5572916666666666,0.6153846153846154
0.2777777777777778,0.5985401459854015,0.5734265734265734,0.5857142857142857,0.7375565610859729
0.3333333333333333,0.6637931034482759,0.5384615384615384,0.5945945945945946,0.7624434389140271
0.38888888888888884,0.6666666666666666,0.5174825174825175,0.5826771653543308,0.7601809954751131
0.4444444444444444,0.6759259259259259,0.5104895104895105,0.5816733067729084,0.7624434389140271
0.5,0.6777777777777778,0.42657342657342656,0.5236051502145923,0.748868778280543
0.5555555555555556,0.847457627118644,0.34965034965034963,0.4950495049504951,0.7692307692307693
0.611111111111111,0.8269230769230769,0.3006993006993007,0.441025641025641,0.753393665158371
0.6666666666666666,0.918918918918919,0.23776223776223776,0.37777777777777777,0.746606334841629
0.7222222222222222,0.9090909090909091,0.2097902097902098,0.34090909090909094,0.7375565610859729
0.7777777777777777,0.9583333333333334,0.16083916083916083,0.2754491017964072,0.7262443438914027
0.8333333333333333,1.0,0.0979020979020979,0.17834394904458598,0.7081447963800905
0.8888888888888888,1.0,0.055944055944055944,0.10596026490066224,0.6945701357466063
0.9444444444444444,0.0,0.0,0.0,0.6764705882352942
1.0,0.0,0.0,0.0,0.6764705882352942
