threshold,precision,recall,f1,accuracy
0.0,0.3235294117647059,1.0,0.48888888888888893,0.3235294117647059
0.05555555555555555,0.3235294117647059,1.0,0.48888888888888893,0.3235294117647059
0.1111111111111111,0.3242630385487528,1.0,0.4897260273972603,0.3257918552036199
0.16666666666666666,0.3655913978494624,0.951048951048951,0.5281553398058253,0.4502262443438914
0.2222222222222222,0.4199288256227758,0.8251748251748252,0.5566037735849056,0.5746606334841629
0.2777777777777778,0.5575757575757576,0.6433566433566433,0.5974025974025975,0.7194570135746606
0.3333333333333333,0.6474820143884892,0.6293706293706294,0.6382978723404255,0.7692307692307693
0.38888888888888884,0.6982758620689655,0.5664335664335665,0.6254826254826255,0.7805429864253394
0.4444444444444444,0.7087378640776699,0.5104895104895105,0.5934959349593496,0.7737556561085973
0.5,0.7391304347826086,0.4755244755244755,0.5787234042553191,0.7760180995475113
0.5555555555555556,0.759493670886076,0.4195804195804196,0.5405405405405406,0.7692307692307693
0.611111111111111,0.7887323943661971,0.3916083916083916,0.5233644859813085,0.7692307692307693
0.6666666666666666,0.8666666666666667,0.36363636363636365,0.5123152709359606,0.7760180995475113
0.7222222222222222,0.9090909090909091,0.34965034965034963,0.505050505050505,0.7782805429864253
0.7777777777777777,0.9069767441860465,0.2727272727272727,0.4193548387096774,0.755656108597285
0.8333333333333333,0.9117647058823529,0.21678321678321677,0.3502824858757062,0.7398190045248869
0.8888888888888888,0.9090909090909091,0.13986013986013987,0.24242424242424243,0.7171945701357466
0.9444444444444444,0.0,0.0,0.0,0.6764705882352942
1.0,0.0,0.0,0.0,0.6764705882352942
