threshold,precision,recall,f1,accuracy
0.0,0.35064935064935066,1.0,0.5192307692307693,0.35064935064935066
0.05555555555555555,0.43548387096774194,1.0,0.6067415730337078,0.5454545454545454
0.1111111111111111,0.5268817204301075,0.9074074074074074,0.6666666666666666,0.6818181818181818
0.16666666666666666,0.5555555555555556,0.7407407407407407,0.634920634920635,0.7012987012987013
0.2222222222222222,0.6206896551724138,0.6666666666666666,0.6428571428571429,0.7402597402597403
0.2777777777777778,0.66,0.6111111111111112,0.6346153846153846,0.7532467532467533
0.3333333333333333,0.725,0.5370370370370371,0.6170212765957447,0.7662337662337663
0.38888888888888884,0.7058823529411765,0.4444444444444444,0.5454545454545455,0.7402597402597403
0.4444444444444444,0.71875,0.42592592592592593,0.5348837209302325,0.7402597402597403
0.5,0.7666666666666667,0.42592592592592593,0.5476190476190477,0.7532467532467533
0.5555555555555556,0.7916666666666666,0.35185185185185186,0.48717948717948717,0.7402597402597403
0.611111111111111,0.8181818181818182,0.3333333333333333,0.4736842105263157,0.7402597402597403
0.6666666666666666,0.8,0.2962962962962963,0.43243243243243246,0.7272727272727273
0.7222222222222222,0.7857142857142857,0.2037037037037037,0.32352941176470584,0.7012987012987013
0.7777777777777777,0.7272727272727273,0.14814814814814814,0.24615384615384614,0.6818181818181818
0.8333333333333333,0.6666666666666666,0.07407407407407407,0.13333333333333333,0.6623376623376623
0.8888888888888888,1.0,0.05555555555555555,0.10526315789473684,0.6688311688311688
0.9444444444444444,0.0,0.0,0.0,0.6493506493506493
1.0,0.0,0.0,0.0,0.6493506493506493
