threshold,precision,recall,f1,accuracy
0.0,0.3235294117647059,1.0,0.48888888888888893,0.3235294117647059
0.05555555555555555,0.3235294117647059,1.0,0.48888888888888893,0.3235294117647059
0.1111111111111111,0.3235294117647059,1.0,0.48888888888888893,0.3235294117647059
0.16666666666666666,0.3235294117647059,1.0,0.48888888888888893,0.3235294117647059
0.2222222222222222,0.3242630385487528,1.0,0.4897260273972603,0.3257918552036199
0.2777777777777778,0.32929782082324455,0.951048951048951,0.48920863309352514,0.3574660633484163
0.3333333333333333,0.37282229965156793,0.7482517482517482,0.49767441860465117,0.5113122171945701
0.38888888888888884,0.5079365079365079,0.6713286713286714,0.5783132530120483,0.6832579185520362
0.4444444444444444,0.6041666666666666,0.6083916083916084,0.6062717770034843,0.744343891402715
0.5,0.6666666666666666,0.5594405594405595,0.6083650190114069,0.7669683257918553
0.5555555555555556,0.6851851851851852,0.5174825174825175,0.5896414342629482,0.7669683257918553
0.611111111111111,0.6857142857142857,0.5034965034965035,0.5806451612903226,0.7647058823529411
0.6666666666666666,0.6826923076923077,0.4965034965034965,0.5748987854251012,0.7624434389140271
0.7222222222222222,0.693069306930693,0.48951048951048953,0.5737704918032787,0.7647058823529411
0.7777777777777777,0.7045454545454546,0.43356643356643354,0.5367965367965368,0.7579185520361991
0.8333333333333333,0.7,0.2937062937062937,0.41379310344827586,0.7307692307692307
0.8888888888888888,0.7777777777777778,0.0979020979020979,0.17391304347826086,0.6990950226244343
0.9444444444444444,0.0,0.0,0.0,0.6764705882352942
1.0,0.0,0.0,0.0,0.6764705882352942
